N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
182,케이카,"28,850",750,+2.67%,500,"13,873","48,087",17.46,"65,196",47.92,15.11,
183,LS ELECTRIC,"46,050",700,-1.50%,"5,000","13,815","30,000",16.67,"117,353",17.05,6.15,
184,일진하이솔루스,"37,850","1,250",+3.42%,500,"13,745","36,313",0.90,"148,394",70.62,34.27,
185,롯데리츠,"5,640",30,+0.53%,500,"13,703","242,969",9.54,"143,759",74.21,1.59,
186,NHN,"35,750",750,+2.14%,500,"13,413","37,518",19.16,"75,740",41.28,1.35,
187,한일시멘트,"19,350",350,+1.84%,500,"13,402","69,262",2.60,"239,925",12.75,N/A,
188,더존비즈온,"43,450","1,200",+2.84%,500,"13,201","30,383",35.79,"315,708",21.27,15.09,
189,현대두산인프라코어,"6,640",60,+0.91%,"1,000","13,110","197,436",9.60,"642,939",2.90,24.63,
190,TIGER MSCI Korea TR,"14,415",180,+1.26%,0,"12,930","89,700",0.00,611,N/A,N/A,
191,TIGER 미국테크TOP10 INDXX,"11,310",405,+3.71%,0,"12,865","113,750",0.00,"647,264",N/A,N/A,
192,롯데관광개발,"18,500",400,+2.21%,500,"12,822","69,308",5.84,"682,883",-6.48,-30.43,
193,한국앤컴퍼니,"13,500",300,+2.27%,500,"12,816","94,935",9.65,"55,652",5.18,5.08,
194,PI첨단소재,"43,600",400,+0.93%,500,"12,804","29,366",11.62,"70,160",20.01,21.03,
195,DL,"59,900","1,300",+2.22%,"5,000","12,553","20,956",12.33,"36,755",1.90,11.84,
196,일동제약,"48,000","1,550",+3.34%,"1,000","12,386","25,803",2.54,"1,681,819",-45.89,-5.13,
197,대한전선,"1,425",30,+2.15%,100,"12,205","856,473",1.36,"5,535,719",39.58,0.92,
198,영풍,"660,000","3,000",+0.46%,"5,000","12,157","1,842",4.06,473,10.25,4.03,
199,명신산업,"23,150",550,+2.43%,500,"12,147","52,470",2.83,"198,348",-10.04,-67.39,
200,대덕전자,"24,450","1,400",+6.07%,500,"12,082","49,417",11.81,"1,124,746",39.00,N/A,
